Date (GMT+1),Nuclear,Hydro Run-of-River,Biomass,Fossil brown coal / lignite,Fossil hard coal,Fossil oil,Fossil coal-derived gas,Fossil gas,Geothermal,Hydro water reservoir,Hydro pumped storage,Others,Waste,Wind offshore,Wind onshore,Solar,Load
,Power (MW),Power (MW),Power (MW),Power (MW),Power (MW),Power (MW),Power (MW),Power (MW),Power (MW),Power (MW),Power (MW),Power (MW),Power (MW),Power (MW),Power (MW),Power (MW),Power (MW)
2019-01-01T00:00+01:00,8994.3,1825,4772.5,7011.6,3474.3,482,273,3505.7,16.6,128.1,353.4,475.2,1302.2,3175.9,19191.3,0,44008.8
2019-01-01T00:15+01:00,9045.7,1823.7,4777.6,6424.3,3030.4,483.7,481.1,3386.1,16.7,103.8,400.5,474.7,1285.7,3173.6,19908.6,0,43461.5
2019-01-01T00:30+01:00,8976.8,1822.3,4790.1,6292.2,2694.5,481.3,481.1,3317.2,16.6,52.4,179.5,474.6,1300.9,3166.4,20658.8,0,42934.9
2019-01-01T00:45+01:00,8959.6,1825.9,4811.4,5902.9,2482.5,481.8,481.1,3282.3,16.7,48.5,167.6,474.7,1300.9,3017.7,21041.1,0,42688.8
2019-01-01T01:00+01:00,8891.2,1832.9,4797.7,5533.5,2535.8,482.7,481.1,3155.5,16.6,70.7,124.8,469.2,1294,2861.4,21400.7,0,42383.3
2019-01-01T01:15+01:00,8680.3,1833.5,4791.8,5470.6,2500.8,481.2,447.1,3048.9,16.6,70.3,43.1,440.6,1292.6,2866,21922.9,0,41880.4
2019-01-01T01:30+01:00,8442.4,1838.1,4787.7,5349,2475.2,480.3,447.1,3026.5,16.5,71.9,41.4,420.1,1298.1,2871.5,22491.8,0,41410.4
2019-01-01T01:45+01:00,8100.8,1832.7,4765.9,5411.2,2476.3,480.2,447.1,2999,16.6,73.3,41.5,413.3,1295.4,2871.8,22871.4,0,40851.8
2019-01-01T02:00+01:00,8040.8,1752.9,4740.5,5414.9,2496.4,482.5,447.1,2876.2,16.6,118.6,327.7,382.8,1302.2,2568.5,22911.9,0,40567.8
2019-01-01T02:15+01:00,8044.1,1754.4,4744.5,5391.4,2368.2,483.9,477.2,2781.6,16.5,91,274.7,367.8,1302.2,2387.9,23184.3,0,40180.7
2019-01-01T02:30+01:00,7944.1,1745.2,4740.9,5419.8,2193.3,484.4,477.2,2785.5,16.5,98.5,0.1,368.1,1305,2390.5,22859,0,39910.7
2019-01-01T02:45+01:00,7761,1759.9,4743.4,5383,2199.9,484.9,477.2,2769.1,16.5,76.5,0.1,367.7,1299.5,2492.8,23195.6,0,39679.7
2019-01-01T03:00+01:00,7562.4,1751.9,4724,5360.3,2355.4,482.7,477.2,2735.8,16.4,104.7,41.4,368,1289.8,2688.6,23856,0,39550
2019-01-01T03:15+01:00,7238,1753.6,4720.6,5325,2506.3,484.7,509.9,2724,16.4,96.9,41.4,367.9,1294,2704.9,24112.4,0,39206.2
2019-01-01T03:30+01:00,7057.9,1761.1,4719.9,5319.1,2488.7,489.2,509.9,2741.9,16.5,62.7,41.4,367.9,1281.6,2700.3,24558.4,0,39178.2
2019-01-01T03:45+01:00,7004.4,1760.9,4705.6,5319,2441.2,490.5,509.9,2733.5,16.4,45.2,41.4,367.7,1280.2,2690.7,24808.5,0,39144.9
2019-01-01T04:00+01:00,7079.6,1759.8,4723.7,5248.6,2381.4,489.9,509.9,2763.7,16.3,104.8,0.1,366.1,1294,2569.4,25655.5,0,39140.7
2019-01-01T04:15+01:00,7148.1,1744.2,4723.7,5257.6,2401.3,491.2,523.6,2767.6,16.3,73.2,13.7,365.8,1284.3,2615.1,26015,0,39075.9
2019-01-01T04:30+01:00,7107.6,1728.3,4729.8,5227.4,2410.9,491.2,523.6,2811.9,16.2,38.2,0.1,365.8,1294,2568.1,26372.7,0.2,39034.1
2019-01-01T04:45+01:00,7122.4,1677.6,4740.9,5219.4,2397,491.4,523.6,2810.1,16.1,38.8,0.2,366,1303.6,2556.3,26644.4,0.2,38880.3
2019-01-01T05:00+01:00,7117.7,1661.4,4731.7,5143.7,2407.6,490.7,523.6,2798.3,15.9,43.2,4,365.7,1303.5,2428.7,27414.8,0.1,38897.3
2019-01-01T05:15+01:00,7078.4,1667.6,4727.5,5112.4,2426.2,491,484.4,2785.2,15.8,32,4,365.6,1303.5,2418,27649,0.1,38616.9
2019-01-01T05:30+01:00,7033.1,1675.2,4733.4,5131.9,2406.3,491.4,484.4,2813.6,15.8,36.8,0.4,365.7,1303.5,2418.6,27902.5,0.1,38540.6
2019-01-01T05:45+01:00,6990,1674.3,4710.8,5151.4,2361.3,491.2,484.4,2812.6,15.7,40.1,0,365.9,1304.8,2242.2,27996.5,0.1,38227.3
2019-01-01T06:00+01:00,7027.8,1677.3,4729.2,5129.6,2239.6,492,484.4,2813.7,15.7,59.1,0,365.3,1299.9,1918.8,29040.5,0.1,37879.9
2019-01-01T06:15+01:00,7021.9,1679.3,4734.6,5122.7,2247.3,490.4,459.4,2785.5,15.6,31.7,0,365.4,1304.1,1938.6,29373.8,0.1,37894.8
2019-01-01T06:30+01:00,7024.5,1682.2,4747.9,5144.1,2244.5,490.2,459.4,2795.1,15.5,56.8,32.6,365.4,1299.9,1939,29743.3,0.1,38060.2
2019-01-01T06:45+01:00,7043.1,1683.3,4752.5,5125.4,2237,490.2,459.4,2792.6,15.6,94.4,38.2,365.5,1297.2,1922.3,29928.8,0.1,38355.3
2019-01-01T07:00+01:00,7115.4,1685.6,4762.9,5089.7,2244.2,490.2,459.4,2901,15.7,84,32.9,365.5,1285.5,1921.9,29994.3,0.1,38472.4
2019-01-01T07:15+01:00,7153.9,1683.9,4743.7,5093.8,2255.1,490.4,396.2,2895.9,15.8,79.8,31.8,365.5,1292.4,2036.8,30201.9,0.1,38695.4
2019-01-01T07:30+01:00,7180.6,1685.7,4751.5,5091.3,2249.8,489.9,396.2,2916.1,15.7,62.7,33.1,365.5,1293.8,2067.5,30337.5,0.2,38758.3
2019-01-01T07:45+01:00,7218.7,1688,4766.7,5109.4,2317.3,491.3,396.2,2907.6,15.6,63.5,35.5,365.5,1295.1,2152.3,30304.8,0.3,39098.7
2019-01-01T08:00+01:00,7154.9,1688.8,4783.3,5004.9,2377.5,490.3,396.2,2935.7,15.7,42.9,33,365,1286.1,2207.2,30648.8,8.5,39151.5
2019-01-01T08:15+01:00,7177.8,1689.9,4788.2,4957.1,2363.9,490.2,452.7,2942.4,15.6,48.8,33.2,365.1,1286.1,2210.4,30745.6,40.5,39299
2019-01-01T08:30+01:00,7164.5,1688.9,4783,4958.6,2332.8,490.2,452.7,2948,15.6,88.8,34.7,365,1257.2,2283.1,30738.6,110.2,39732.8
2019-01-01T08:45+01:00,7100.7,1687.6,4795.6,4980,2346.6,489,452.7,2952.9,15.5,150.3,36,365,1269.6,2111.9,31005.2,217.5,40117.7
2019-01-01T09:00+01:00,6965.4,1689.7,4756.2,4989.3,2500.9,488.2,452.7,2956.1,15.7,85.3,33.5,365.2,1293.4,2097.8,30889.5,352.4,41058.6
