Date (GMT+1),Nuclear,Hydro water reservoir,Others,Wind onshore,Load
,Power (MW),Power (MW),Power (MW),Power (MW),Power (MW)
2019-01-01T00:00+01:00,8211,2295,1591,5355,14597
2019-01-01T01:00+01:00,8210,2076,1565,5234,14375
2019-01-01T02:00+01:00,8207,2039,1568,5011,14153
2019-01-01T03:00+01:00,8207,2086,1558,4934,13896
2019-01-01T04:00+01:00,8208,2349,1558,4895,13955
2019-01-01T05:00+01:00,8206,2382,1581,4894,14166
2019-01-01T06:00+01:00,8206,2726,1618,4836,14352
2019-01-01T07:00+01:00,8207,2972,1633,4900,14807
2019-01-01T08:00+01:00,8205,2885,1662,5030,15064
2019-01-01T09:00+01:00,8204,2878,1708,5074,15492
2019-01-01T10:00+01:00,8205,3014,1691,5232,15810
2019-01-01T11:00+01:00,8206,3115,1699,5459,16045
2019-01-01T12:00+01:00,8206,3172,1719,5631,16254
2019-01-01T13:00+01:00,8207,3007,1665,5747,16321
2019-01-01T14:00+01:00,8207,3391,1669,5949,16874
2019-01-01T15:00+01:00,8207,3652,1666,6055,17436
2019-01-01T16:00+01:00,8208,3915,1686,6108,18173
2019-01-01T17:00+01:00,8209,4035,1687,6168,18388
2019-01-01T18:00+01:00,8203,3940,1657,6196,18200
2019-01-01T19:00+01:00,8209,3813,1653,6232,17725
2019-01-01T20:00+01:00,8210,3050,1661,6250,17424
2019-01-01T21:00+01:00,8205,2660,1656,6243,17030
2019-01-01T22:00+01:00,8203,2373,1649,6227,16745
2019-01-01T23:00+01:00,8202,2057,1630,6199,16335
2019-01-02T00:00+01:00,8201,1921,1646,6197,16008
2019-01-02T01:00+01:00,8201,1834,1636,6135,15938
2019-01-02T02:00+01:00,8201,1791,1625,6054,15771
2019-01-02T03:00+01:00,8198,1899,1641,5971,15893
2019-01-02T04:00+01:00,8197,2385,1677,5912,16263
2019-01-02T05:00+01:00,8196,3203,1700,5854,16919
2019-01-02T06:00+01:00,8192,4645,1757,5740,18200
2019-01-02T07:00+01:00,8192,6384,1759,5619,19757
2019-01-02T08:00+01:00,8190,7468,1784,5560,20484
2019-01-02T09:00+01:00,8196,8057,1802,5358,20593
2019-01-02T10:00+01:00,8193,7952,1836,5268,20891
2019-01-02T11:00+01:00,8194,8184,1860,5072,20613
2019-01-02T12:00+01:00,8192,8787,1885,4935,20743
2019-01-02T13:00+01:00,8190,8742,1897,4815,20743
2019-01-02T14:00+01:00,8188,9055,1911,4702,21231
2019-01-02T15:00+01:00,8186,9351,1893,4585,21664
2019-01-02T16:00+01:00,8182,9750,1889,4414,21997
2019-01-02T17:00+01:00,8183,10105,1887,4172,22082
2019-01-02T18:00+01:00,8184,9996,1888,3908,21681
2019-01-02T19:00+01:00,8182,9717,1866,3577,21036
2019-01-02T20:00+01:00,8188,9478,1885,3347,20637
2019-01-02T21:00+01:00,8188,8869,1871,3078,19882
2019-01-02T22:00+01:00,8190,7907,1842,2867,18954
2019-01-02T23:00+01:00,8190,6199,1843,2575,18177
2019-01-03T00:00+01:00,8191,5027,1812,2253,17488
2019-01-03T01:00+01:00,8187,4823,1859,2047,17093
2019-01-03T02:00+01:00,8188,4706,1874,1889,16823
2019-01-03T03:00+01:00,8192,4704,1878,1765,16870
2019-01-03T04:00+01:00,8192,5155,1828,1640,16991
2019-01-03T05:00+01:00,8190,6609,1826,1598,17636
2019-01-03T06:00+01:00,8191,8712,1926,1631,19058
2019-01-03T07:00+01:00,8186,10621,1953,1716,20612
2019-01-03T08:00+01:00,8185,11324,1988,1765,21410
2019-01-03T09:00+01:00,8185,11372,2030,1913,21439
2019-01-03T10:00+01:00,8185,11280,2051,2082,21382
2019-01-03T11:00+01:00,8185,11013,2037,2262,21190
2019-01-03T12:00+01:00,8188,10775,2028,2443,21162
2019-01-03T13:00+01:00,8188,10691,2079,2559,21021
2019-01-03T14:00+01:00,8187,10610,2063,2712,20980
2019-01-03T15:00+01:00,8047,10518,2042,2879,21153
2019-01-03T16:00+01:00,7757,10550,2059,3031,22013
2019-01-03T17:00+01:00,7736,10373,2033,3117,21969
2019-01-03T18:00+01:00,7763,10361,2005,3212,21545
2019-01-03T19:00+01:00,7765,10338,1982,3256,20712
2019-01-03T20:00+01:00,7773,9706,1976,3259,20238
2019-01-03T21:00+01:00,8036,9347,1979,3340,19248
2019-01-03T22:00+01:00,8139,8533,1941,3386,18377
2019-01-03T23:00+01:00,8171,7172,1898,3345,17267
2019-01-04T00:00+01:00,8138,5453,1824,3515,16533
2019-01-04T01:00+01:00,7947,4825,1822,3532,16361
2019-01-04T02:00+01:00,7933,4780,1832,3570,16183
2019-01-04T03:00+01:00,7924,4684,1835,3488,16060
2019-01-04T04:00+01:00,7913,5016,1833,3462,15960
2019-01-04T05:00+01:00,7912,5745,1825,3283,16345
2019-01-04T06:00+01:00,7913,8483,1914,3225,18227
2019-01-04T07:00+01:00,7835,9966,1927,3073,19538
2019-01-04T08:00+01:00,7719,10400,1890,2933,20360
2019-01-04T09:00+01:00,7722,10555,1930,2833,20333
2019-01-04T10:00+01:00,7724,10613,1933,2727,20430
2019-01-04T11:00+01:00,7736,10604,1876,2717,20074
2019-01-04T12:00+01:00,7757,10303,1851,2669,19738
2019-01-04T13:00+01:00,7863,10195,1829,2701,19525
2019-01-04T14:00+01:00,7951,10095,1768,2705,19143
2019-01-04T15:00+01:00,7961,10046,1773,2697,19273
2019-01-04T16:00+01:00,7983,10168,1802,2678,19705
2019-01-04T17:00+01:00,7985,10075,1845,2662,19795
2019-01-04T18:00+01:00,7988,9938,1822,2566,19377
2019-01-04T19:00+01:00,7989,9488,1825,2461,18699
2019-01-04T20:00+01:00,7996,8910,1839,2403,18142
2019-01-04T21:00+01:00,8006,8119,1750,2217,17425
2019-01-04T22:00+01:00,8013,6796,1711,2160,16534
2019-01-04T23:00+01:00,8019,5823,1745,2077,15976
2019-01-05T00:00+01:00,8026,4420,1772,1974,15592
2019-01-05T01:00+01:00,8034,4274,1714,1916,15149
2019-01-05T02:00+01:00,8042,4272,1707,1826,14895
2019-01-05T03:00+01:00,8052,4243,1713,1798,14951
2019-01-05T04:00+01:00,8059,4295,1734,1727,15101
2019-01-05T05:00+01:00,8065,4375,1745,1621,15296
2019-01-05T06:00+01:00,8073,5251,1755,1501,15751
2019-01-05T07:00+01:00,8081,6846,1764,1371,16506
2019-01-05T08:00+01:00,8093,7709,1771,1258,17141
2019-01-05T09:00+01:00,8101,8248,1777,1154,17685
2019-01-05T10:00+01:00,8107,8905,1850,1092,18266
2019-01-05T11:00+01:00,8116,9290,1883,917,18543
2019-01-05T12:00+01:00,8122,9484,1879,815,18334
